Start,End,Open,High,Low,Close,Volume,Market Cap
10/10/2023,11/10/2023,27588.85,27707.75,27302.72,27390.34,25715370676,5.36966E+11
09/10/2023,10/10/2023,27917.01,27974.95,27299.96,27584.1,23156001098,5.39898E+11
08/10/2023,09/10/2023,27956.63,28094.99,27737.73,27932.44,16818867481,5.446E+11
07/10/2023,08/10/2023,27933.78,28013.81,27865,27958.62,26085716212,5.44805E+11
06/10/2023,07/10/2023,27409.84,28224.97,27247.64,27933,24229756760,5.40409E+11
05/10/2023,06/10/2023,27785.52,28071.45,27374.37,27422.6,19688560917,5.39005E+11
04/10/2023,05/10/2023,27427.28,27819.83,27255.35,27778.6,22165383914,5.36686E+11
03/10/2023,04/10/2023,27497.49,27663.53,27254.73,27419.23,31238180719,5.36029E+11
02/10/2023,03/10/2023,27991.07,28478.97,27374.23,27609.13,31522159982,5.46921E+11
01/10/2023,02/10/2023,26962.53,27993.9,26962.53,27978.1,18834874003,5.29777E+11
30/09/2023,01/10/2023,26906.99,27080.82,26886.87,26967.11,21798932201,5.25844E+11
29/09/2023,30/09/2023,27021.39,27229.29,26702.95,26910.69,33574434387,5.25634E+11
28/09/2023,29/09/2023,26370.33,27234.96,26330.72,27020.31,28973213251,5.20206E+11
27/09/2023,28/09/2023,26214.89,26808.54,26172.5,26368.04,28486091576,5.13326E+11
26/09/2023,27/09/2023,26304.75,26386.51,26124.07,26217.38,30801411869,5.11685E+11
25/09/2023,26/09/2023,26251.64,26419.98,26029.07,26308.45,29729980167,5.10829E+11
24/09/2023,25/09/2023,26575.97,26708.73,26238.82,26254.11,20558845367,5.17709E+11
23/09/2023,24/09/2023,26580.1,26632.75,26524.9,26580.66,27485516874,5.18046E+11
22/09/2023,23/09/2023,26568.52,26732.63,26497.45,26577.61,32770883856,5.187E+11
21/09/2023,22/09/2023,27124.97,27138.3,26417.87,26556.98,34716136791,5.21954E+11
20/09/2023,21/09/2023,27207.59,27345.79,26841.64,27121.84,35651837899,5.28618E+11
19/09/2023,20/09/2023,26769.19,27461.08,26676.36,27211.2,35841784790,5.2708E+11
18/09/2023,19/09/2023,26527.97,27395.71,26414.75,26738.74,27436417976,5.2334E+11
17/09/2023,18/09/2023,26568.29,26610.11,26430.05,26531.4,21150829669,5.16936E+11
16/09/2023,17/09/2023,26599.99,26721.89,26463.28,26553.13,27388016402,5.17531E+11
15/09/2023,16/09/2023,26519.97,26809.85,26239.05,26627.69,35408599195,5.16415E+11
14/09/2023,15/09/2023,26222.03,26730.83,26167.49,26528.22,36186355266,5.1511E+11
13/09/2023,14/09/2023,25840.05,26374.39,25798.88,26222.02,37825897072,5.0828E+11
12/09/2023,13/09/2023,25163.36,26414.35,25134.82,25854.29,42840517080,5.04104E+11
11/09/2023,12/09/2023,25841.6,25892.75,25003.54,25143.63,29801839901,4.96842E+11
10/09/2023,11/09/2023,25901.56,25972.62,25664.19,25841.65,21349405287,5.03001E+11
09/09/2023,10/09/2023,25910.5,25913.72,25817.18,25893.13,24554544142,5.04028E+11
08/09/2023,09/09/2023,26250.82,26382.02,25725.47,25910.51,33843759090,5.06945E+11
07/09/2023,08/09/2023,25763.81,26404.77,25623.99,26200.96,32365378916,5.03241E+11
06/09/2023,07/09/2023,25787.14,25902.13,25491.64,25771.63,30959639752,5.01125E+11
05/09/2023,06/09/2023,25826.01,25839.59,25573.33,25788.7,30714818703,5.01315E+11
04/09/2023,05/09/2023,25971.21,26051.36,25677.71,25824.15,25975859564,5.0444E+11
03/09/2023,04/09/2023,25869.49,26057.27,25830.07,25980.6,24866987152,5.04672E+11
02/09/2023,03/09/2023,25807.03,25945.99,25760.02,25856.93,35653785453,5.02904E+11
01/09/2023,02/09/2023,25939.29,26131.86,25400.9,25816.57,44378083351,5.04328E+11
31/08/2023,01/09/2023,27300,27442.53,25827.45,25936.45,37305394162,5.23082E+11
30/08/2023,31/08/2023,27717.79,27740.45,27084.15,27316.23,51363304985,5.32441E+11
29/08/2023,30/08/2023,26109.62,28005.42,25923.02,27718.23,40345124416,5.19784E+11
28/08/2023,29/08/2023,26101.82,26184.91,25898.04,26127.89,27605641627,5.06732E+11
27/08/2023,28/08/2023,26017.38,26170.03,25977.71,26088.38,21529918739,5.07375E+11
26/08/2023,27/08/2023,26060.01,26097.73,26000.22,26021.02,28243499439,5.06837E+11
25/08/2023,26/08/2023,26180.06,26237.92,25833.57,26058.22,34117409477,5.07044E+11
24/08/2023,25/08/2023,26436.94,26556.64,25964.98,26141.53,48815596296,5.11715E+11
23/08/2023,24/08/2023,26054.99,26778.01,25805.06,26417.4,49275817830,5.0942E+11
22/08/2023,23/08/2023,26126.91,26134.05,25593.79,26048.09,42756138356,5.05723E+11
21/08/2023,22/08/2023,26190.02,26201.86,25879.48,26123.45,38975374894,5.07356E+11
20/08/2023,21/08/2023,26099.96,26267.33,26002.03,26180,36245031610,5.08436E+11
19/08/2023,20/08/2023,26046.94,26253.26,25814.25,26090.63,47720925653,5.06054E+11
18/08/2023,19/08/2023,26633.29,26784.23,25721.53,26058.26,70305042457,5.11539E+11
17/08/2023,18/08/2023,28730.48,28768.44,25458.37,26610.04,48279108357,5.48384E+11
16/08/2023,17/08/2023,29199.99,29257.43,28736.49,28736.49,39579849071,5.66341E+11
15/08/2023,16/08/2023,29430.92,29454.28,29121.17,29200.8,43364283059,5.70578E+11
14/08/2023,15/08/2023,29303.8,29686.03,29162.07,29430.95,38887388743,5.71833E+11
13/08/2023,14/08/2023,29430.21,29466.51,29281.72,29285.11,30174102463,5.7153E+11
12/08/2023,13/08/2023,29426.01,29475.29,29353.95,29430.07,30446735214,5.72022E+11
11/08/2023,12/08/2023,29460.02,29542.01,29291.04,29426.01,35066540604,5.71916E+11
10/08/2023,11/08/2023,29582.01,29709.96,29379.58,29455.74,42722831078,5.73877E+11
09/08/2023,10/08/2023,29770.45,30071.63,29414.98,29596.9,47813268907,5.7778E+11
08/08/2023,09/08/2023,29211.19,30127.05,29128.81,29766.72,46336322796,5.72856E+11
07/08/2023,08/08/2023,29036.98,29276.77,28781.8,29206.01,39697415731,5.65607E+11
06/08/2023,07/08/2023,29072.16,29199.94,28980.12,29086.65,38729991967,5.65219E+11
05/08/2023,06/08/2023,29113.96,29142.06,28987.39,29074.55,37921384457,5.65046E+11
04/08/2023,05/08/2023,29193.68,29309.66,28926.04,29113.38,43120949289,5.67136E+11
03/08/2023,04/08/2023,29186.62,29398.24,29016.2,29198.33,49303661952,5.6762E+11
02/08/2023,03/08/2023,29728.91,29989.7,29011.99,29151.7,57813137210,5.72529E+11
01/08/2023,02/08/2023,29232.21,29629.24,28778.21,29629.24,41476655138,5.64262E+11
